keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F10092,         69,         89,       159,            0,         400, 10
F10800#F11651,         97,         72,       169,            0,         400, 10
F10800#F1092 ,         83,         77,       161,            0,         400, 10
F10800#F10694,         92,        133,       226,            0,         400, 10
F10800#F10315,         80,         74,       154,            0,         400, 10
F10800#F13306,         93,         70,       164,            0,         400, 10
F10800#F11189,         85,         72,       158,            0,         400, 10
F10800#F10870,         82,        139,       221,            0,         400, 10
F10800#F12921,         82,         71,       155,            0,         400, 10
F10800#F10368,         79,         70,       150,            0,         400, 10
F10800#F11040,         85,         65,       151,            0,         400, 10
F10800#F10329,         98,         71,       170,            0,         400, 10
F10800#F12863,         77,         64,       142,            0,         400, 10
F10800#F10495,         81,         65,       146,            0,         400, 10
F10800#F11627,         69,         69,       140,            0,         400, 10
F10800#F10408,         83,         68,       152,            0,         400, 10
F10800#F11449,         74,         76,       150,            0,         400, 10
F10800#F10206,         87,         69,       157,            0,         400, 10
F10800#F10047,         75,         84,       160,            0,         400, 10
F10800#F10021,        138,         66,       205,            0,         400, 10
F10800#F10815,        113,         74,       188,            0,         400, 10
F10800#F10760,         71,         74,       146,            0,         400, 10
F10800#F11133,        100,         67,       169,            0,         400, 10
F10800#F10557,         78,         70,       149,            0,         400, 10
F10800#F10163,         78,         89,       168,            0,         400, 10
F10800#F10570,         87,         74,       163,            0,         400, 10
F10800#F10440,         75,         80,       156,            0,         400, 10
F10800#F10234,        104,         68,       173,            0,         400, 10
F10800#F10372,         70,         83,       154,            0,         400, 10
F10800#F10279,        101,         67,       169,            0,         400, 10
F10800#F11514,         75,         75,       150,            0,         400, 10
F10800#F10668,         88,         60,       150,            0,         400, 10
F10800#F10371,         76,         61,       137,            0,         400, 10
F10800#F1072 ,         73,         75,       149,            0,         400, 10
F10800#F10662,         79,         61,       141,            0,         400, 10
F10800#F10226,         78,         84,       163,            0,         400, 10
F10800#F10743,         87,         65,       153,            1,         400, 10
F10800#F10727,         76,         68,       146,            0,         400, 10
F10800#F10745,        122,         63,       186,            0,         400, 10
F10800#F11201,         69,         62,       132,            0,         400, 10
F10800#F11168,         74,         76,       151,            0,         400, 10
F10800#F10910,        129,         61,       191,            0,         400, 10
F10800#F1076 ,         70,        129,       201,            0,         400, 10
F10800#F11335,         72,         80,       153,            0,         400, 10
F10800#F10299,         94,         62,       157,            0,         400, 10
F10800#F10   ,         69,        125,       196,            0,         400, 10
F10800#F10404,         78,         61,       140,            0,         400, 10
F10800#F10526,         75,         63,       138,            0,         400, 10
F10800#F10514,         72,       2754,      2827,            0,         400, 10
F10800#F11910,         78,         67,       146,            0,         400, 10
F10800#F10064,         75,         75,       150,            0,         400, 10
F10800#F10972,         86,         63,       149,            0,         400, 10
F10800#F10676,         73,        123,       196,            0,         400, 10
F10800#F10117,         80,         86,       167,            0,         400, 10
F10800#F12634,         97,         68,       166,            0,         400, 10
F10800#F12273,         81,         81,       163,            0,         400, 10
F10800#F10857,         98,         67,       167,            0,         400, 10
F10800#F101  ,         81,         67,       148,            0,         400, 10
F10800#F10276,         89,         69,       159,            0,         400, 10
F10800#F10287,         82,         69,       152,            0,         400, 10
F10800#F10241,         79,         83,       163,            0,         400, 10
F10800#F10462,         97,         70,       170,            0,         400, 10
F10800#F1078 ,         77,         71,       148,            0,         400, 10
F10800#F11011,         84,         70,       154,            0,         400, 10
F10800#F10531,         86,        136,       222,            0,         400, 10
