keyword     , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F1438#F15677,       1360,        772,      2135,            3,       27800,   695
F1438#F10052,       1257,        763,      2025,            1,       27840,   696
F1438#F10056,       1289,        824,      2116,            5,       27880,   697
F1438#F10264,       1309,        788,      2100,            0,       27920,   698
F1438#F11564,       1364,        783,      2150,            3,       27960,   699
F1438#F10981,       1420,        771,      2193,            2,       28000,   700
F1438#F12223,       1335,        766,      2103,            3,       28040,   701
F1438#F4578 ,       1313,        766,      2081,            3,       28080,   702
F1438#F12973,       1360,        791,      2155,            1,       28120,   703
F1438#F13021,       1289,        813,      2105,            3,       28160,   704
F1438#F6733 ,       1405,        775,      2182,            0,       28200,   705
F1438#F16095,       1317,        785,      2106,            3,       28240,   706
F1438#F10891,       1381,        771,      2155,            2,       28280,   707
F1438#F11730,       1313,        804,      2125,            3,       28320,   708
F1438#F1594 ,       1349,        946,      2298,            3,       28360,   709
F1438#F2096 ,       1434,        881,      2318,            0,       28400,   710
F1438#F1054 ,       1279,        769,      2051,            2,       28440,   711
F1438#F1325 ,       1293,        792,      2088,            3,       28480,   712
F1438#F1037 ,       1322,        790,      2115,            0,       28520,   713
F1438#F10593,       1320,        798,      2120,            3,       28560,   714
F1438#F12970,       1419,        794,      2216,            2,       28600,   715
F1438#F1434 ,       1393,        791,      2186,            4,       28640,   716
F1438#F3784 ,       1359,        779,      2140,            3,       28680,   717
F1438#F16600,       1297,        780,      2079,            1,       28720,   718
F1438#F11566,       1313,        790,      2105,            2,       28760,   719
F1438#F12189,       1286,        793,      2082,            3,       28800,   720
F1438#F36349,       1280,        792,      2075,            3,       28840,   721
F1438#F2670 ,       1266,        764,      2033,            0,       28880,   722
F1438#F11026,       1238,        757,      1997,            3,       28920,   723
F1438#F12701,       1226,        785,      2013,            3,       28960,   724
F1438#F12594,       1274,        828,      2105,            5,       29000,   725
F1438#F10401,       1277,        795,      2075,            0,       29040,   726
F1438#F2592 ,       1283,        783,      2069,            0,       29080,   727
F1438#F1147 ,       1267,        769,      2045,            3,       29120,   728
F1438#F10835,       1322,        779,      2104,            2,       29160,   729
F1438#F11106,       1346,        827,      2176,            0,       29200,   730
F1438#F10849,       1342,        906,      2253,            1,       29240,   731
F1438#F1200 ,       1273,        759,      2035,            3,       29280,   732
F1438#F1543 ,       1227,        770,      1999,            5,       29320,   733
F1438#F12730,       1347,        767,      2116,            0,       29360,   734
F1438#F3590 ,       1296,        783,      2083,            4,       29400,   735
F1438#F13683,       1354,        822,      2179,            2,       29440,   736
F1438#F2086 ,       1326,        764,      2093,            5,       29480,   737
F1438#F15864,       1306,        795,      2103,            4,       29520,   738
F1438#F1497 ,       1282,        829,      2113,            1,       29560,   739
