keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F1801,56,90,0,148,0,360,10,555
F19998#F1792,51,45,0,98,0,360,10,556
F19998#F1788,51,39,0,92,0,360,10,557
F19998#F1783,56,37,0,94,0,360,10,558
F19998#F1780,55,37,0,93,0,360,10,559
F19998#F1776,53,38,0,92,0,360,10,560
F19998#F1775,46,37,0,85,0,360,10,561
F19998#F1772,52,37,0,89,0,360,10,562
F19998#F1765,53,40,0,94,0,360,10,563
F19998#F1762,53,38,0,92,0,360,10,564
F19998#F1756,47,35,0,83,0,360,10,565
F19998#F1748,50,38,0,88,0,360,10,566
F19998#F1744,55,35,0,90,0,360,10,567
F19998#F1740,55,37,0,93,0,360,10,568
F19998#F1737,50,41,0,92,0,360,10,569
F19998#F1733,50,38,0,89,0,360,10,570
F19998#F1731,51,40,0,92,0,360,10,571
F19998#F1729,55,34,0,90,0,360,10,572
F19998#F1719,51,37,0,88,0,360,10,573
F19998#F1710,50,39,0,90,0,360,10,574
F19998#F1708,98,39,0,138,0,360,10,575
F19998#F1704,49,40,0,90,0,360,10,576
F19998#F1699,46,76,0,123,0,360,10,577
F19998#F1697,46,35,0,82,0,360,10,578
F19998#F1693,49,35,0,85,0,360,10,579
F19998#F1687,54,40,0,95,0,360,10,580
F19998#F1682,55,44,0,100,0,360,10,581
F19998#F1678,107,75,0,184,0,360,10,582
F19998#F1671,65,48,0,114,0,360,10,583
F19998#F1662,60,98,0,160,0,360,10,584
F19998#F1658,60,44,0,105,0,360,10,585
F19998#F1652,77,40,0,118,0,360,10,586
F19998#F1648,109,50,0,160,0,360,10,587
F19998#F1640,66,67,0,134,0,360,10,588
F19998#F1638,67,79,0,147,0,360,10,589
F19998#F1637,62,55,0,118,0,360,10,590
F19998#F1636,51,85,0,137,0,360,10,591
F19998#F1633,45,34,0,80,0,360,10,592
F19998#F1625,47,31,0,79,0,360,10,593
F19998#F1622,42,83,0,126,0,360,10,594
F19998#F1616,57,39,0,97,0,360,10,595
F19998#F1612,55,37,0,93,0,360,10,596
F19998#F1608,171,61,0,236,0,360,10,597
F19998#F1606,107,60,0,168,0,360,10,598
F19998#F1602,56,41,0,98,0,360,10,599
F19998#F1600,52,36,0,89,0,360,10,600
F19998#F1597,50,40,0,92,0,360,10,601
F19998#F1589,52,38,0,91,0,360,10,602
F19998#F1584,46,35,0,83,0,360,10,603
F19998#F1580,55,36,0,92,0,360,10,604
F19998#F1576,45,31,0,77,0,360,10,605
F19998#F1573,57,33,0,91,0,360,10,606
F19998#F1570,45,33,0,79,0,360,10,607
F19998#F1565,50,78,0,129,0,360,10,608
F19998#F1560,42,33,0,76,0,360,10,609
