keyword,clientSearchTime,serverTime,resultLength
F2645#F19703,1.222403ms,1.219609441s,33
F32513#F39715,1.722957ms,856.72846ms,6
F38420#F23839,1.293453ms,903.289292ms,4
F14019#F32794,1.850576ms,874.979504ms,6
F9870#F40048,1.432633ms,667.903505ms,7
F48570#F6945,1.101476ms,677.346037ms,4
F9562#F7363,3.088689ms,1.165841891s,34
F45156#F46333,1.061201ms,660.880469ms,6
F2556#F9089,3.436712ms,1.71569489s,44
F46458#F33985,1.020466ms,872.76359ms,1
F47416#F1426,715.125µs,1.095732773s,0
F23846#F1608,2.719468ms,1.325273285s,25
F14137#F1075,1.822899ms,960.286837ms,12
F54623#F32634,1.249689ms,693.241816ms,3
F35605#F19930,769.264µs,947.509861ms,1
F54523#F47975,1.531957ms,666.570492ms,4
F27456#F5816,1.451434ms,650.95313ms,6
F11176#F32296,1.66239ms,1.070604349s,15
F47975#F3121,1.130819ms,674.747079ms,6
F5508#F34977,739.626µs,896.85829ms,1
F43762#F31366,1.895753ms,666.731287ms,5
F13470#F54308,927.947µs,645.182449ms,6
F44651#F58998,705.518µs,947.891652ms,0
F17578#F33205,1.377371ms,706.918921ms,2
F6520#F2662,3.615625ms,1.205009381s,28
F991#F60895,720.713µs,985.432754ms,1
F34415#F49558,747.256µs,1.056191978s,1
F20894#F630,2.43972ms,1.203694662s,22
F24534#F10479,1.604286ms,871.797848ms,12
F3116#F49216,1.428906ms,868.207527ms,10
F47572#F39718,1.345122ms,701.374716ms,3
F16474#F18037,2.654539ms,1.22016627s,25
F21470#F53397,1.323299ms,663.940247ms,7
F7047#F42772,1.306198ms,911.577269ms,9
F20794#F30481,2.553164ms,1.222923062s,19
F40109#F60818,954.896µs,733.424783ms,1
F23618#F23184,2.01226ms,807.733239ms,7
F44884#F26301,1.267369ms,655.685759ms,2
F62803#F830,770.53µs,918.108991ms,1
F8992#F14754,3.471357ms,1.211335219s,28
F59426#F19392,760.263µs,923.687255ms,0
F14778#F59919,901.303µs,805.122211ms,2
F9437#F771,2.17048ms,1.208983895s,13
F6204#F37883,2.467766ms,1.189128465s,16
F51698#F56418,860.523µs,811.206638ms,0
F22726#F60848,1.171107ms,827.287882ms,4
F55800#F55263,721.632µs,1.12992081s,1
F61148#F3051,650.099µs,1.00456469s,1
F54464#F21995,1.363298ms,689.791855ms,5
F18092#F30178,2.505212ms,1.283319451s,29
F6778#F19479,2.572586ms,1.199672351s,25
F17356#F57065,781.223µs,730.328418ms,3
F30036#F61844,687.46µs,941.570305ms,1
F16612#F56802,668.034µs,940.932181ms,1
F5531#F19017,2.628509ms,1.201465476s,20
F13106#F47694,1.809974ms,950.996335ms,12
F16172#F50984,1.41479ms,668.579363ms,8
F32778#F23182,993.453µs,817.124467ms,1
F24410#F6031,2.893758ms,1.217764771s,20
F180#F3649,1.093157ms,948.127249ms,11
F21920#F5480,2.647269ms,1.227697362s,30
F51403#F45274,951.52µs,638.189084ms,3
F62966#F48405,712.812µs,962.268711ms,0
F60151#F13296,656.739µs,975.065541ms,1
F10991#F2554,3.244529ms,1.20706693s,22
F43598#F29010,1.022311ms,660.286144ms,5
F11263#F9794,1.998771ms,1.190983264s,17
F43192#F47285,1.029527ms,675.774558ms,4
